Date,Elevation (ft)
2/26/2003,6573.24
2/27/2003,6571.32
2/28/2003,6574.45
3/1/2003,6575.37
3/2/2003,6576.96
3/3/2003,6576.99
3/4/2003,6578.21
3/5/2003,6577.49
3/6/2003,6575.99
3/7/2003,6575.17
3/8/2003,6575.75
3/9/2003,6576.12
3/10/2003,6576.18
3/11/2003,6576.71
3/12/2003,6576.4
3/13/2003,6575.97
3/14/2003,6576.25
3/15/2003,6573.72
3/16/2003,6572.64
3/17/2003,6572.73
3/18/2003,6574.37
3/19/2003,6577.03
3/20/2003,6579.09
3/21/2003,6579.07
3/22/2003,6578.88
3/23/2003,6578.8
3/24/2003,6578.79
3/25/2003,6577.9
3/26/2003,6577.82
3/27/2003,6576.47
3/28/2003,6575.66
3/29/2003,6575.54
3/30/2003,6575.41
3/31/2003,6574.61
4/1/2003,6574.53
4/2/2003,6574.54
4/3/2003,6574.71
4/4/2003,6573.75
4/5/2003,6572.66
4/6/2003,6572.8
4/7/2003,6571.54
4/8/2003,6570.44
4/9/2003,6569.69
4/10/2003,6570.03
4/11/2003,6573.82
4/12/2003,6573.89
4/13/2003,6573.08
4/14/2003,6572.28
4/15/2003,6571.84
4/16/2003,6570.98
4/17/2003,6571.57
4/18/2003,6576.47
4/19/2003,6575.39
4/20/2003,6574.24
4/21/2003,6572.6
4/22/2003,6571.67
4/23/2003,6571.29
4/24/2003,6570.56
4/25/2003,6575.05
4/26/2003,6574.88
4/27/2003,6573.42
4/28/2003,6571.62
4/29/2003,6570.67
4/30/2003,6575.56
5/1/2003,6573.07
5/2/2003,6570.84
5/3/2003,6570.13
5/4/2003,6570.13
5/5/2003,6568.79
5/6/2003,6568.38
5/7/2003,6568.23
5/8/2003,6574.63
5/9/2003,6574.52
5/10/2003,6573.92
5/11/2003,6573.11
5/12/2003,6572.24
5/13/2003,6572.9
5/14/2003,6573.54
5/15/2003,6574.3
5/16/2003,6574.23
5/17/2003,6573.12
5/18/2003,6576.75
5/19/2003,6577.37
5/20/2003,6575.61
5/21/2003,6575
5/22/2003,6576.5
5/23/2003,6574.94
5/24/2003,6577.24
5/25/2003,6576.89
5/26/2003,6576.59
5/27/2003,6575.69
5/28/2003,6575.59
5/29/2003,6575.91
5/30/2003,6576.08
5/31/2003,6574.25
6/1/2003,6571.71
6/2/2003,6572.02
6/3/2003,6573.2
6/4/2003,6576.89
6/5/2003,6577.13
6/6/2003,6573.93
6/7/2003,6569.69
6/8/2003,6565.27
6/9/2003,6567.31
6/10/2003,6572.32
6/11/2003,6573.76
6/12/2003,6573.57
6/13/2003,6575.99
6/14/2003,6577.88
6/15/2003,6577.95
6/16/2003,6576.63
6/17/2003,6576.64
6/18/2003,6575.61
6/19/2003,6574.63
6/20/2003,6573.83
6/21/2003,6571.69
6/22/2003,6570.15
6/23/2003,6569.62
6/24/2003,6568.75
6/25/2003,6571.33
6/26/2003,6570.88
6/27/2003,6573.71
6/28/2003,6572.11
6/29/2003,6574.49
6/30/2003,6575.77
7/1/2003,6575.14
7/2/2003,6577.17
7/3/2003,6576.37
7/4/2003,6577.23
7/5/2003,6577.54
7/6/2003,6576.83
7/7/2003,6576.41
7/8/2003,6575.64
7/9/2003,6575.99
7/10/2003,6575.7
7/11/2003,6574.46
7/12/2003,6574.51
7/13/2003,6573
7/14/2003,6572.46
7/15/2003,6572.53
7/16/2003,6573.96
7/17/2003,6574.25
7/18/2003,6573.42
7/19/2003,6576.42
7/20/2003,6575.03
7/21/2003,6575.4
7/22/2003,6576.8
7/23/2003,6574.99
7/24/2003,6575.62
7/25/2003,6575.85
7/26/2003,6575.52
7/27/2003,6577.21
7/28/2003,6577.02
7/29/2003,6576.59
7/30/2003,6574.66
7/31/2003,6575.35
8/1/2003,6574.11
8/2/2003,6574.17
8/3/2003,6574.28
8/4/2003,6575.33
8/5/2003,6576.02
8/6/2003,6575.6
8/7/2003,6574.58
8/8/2003,6574.48
8/9/2003,6574.63
8/10/2003,6574.61
8/11/2003,6575.21
8/12/2003,6575.19
8/13/2003,6575.53
8/14/2003,6575.55
8/15/2003,6574.42
8/16/2003,6574.26
8/17/2003,6574.72
8/18/2003,6575.55
8/19/2003,6576.7
8/20/2003,6573.03
8/21/2003,6573.24
8/22/2003,6574.59
8/23/2003,6575.85
8/24/2003,6576.45
8/25/2003,6577.72
8/26/2003,6576.22
8/27/2003,6576.02
8/28/2003,6573.69
8/29/2003,6572.05
8/30/2003,6571.18
8/31/2003,6571.39
9/1/2003,6571.67
9/2/2003,6571.12
9/3/2003,6571.27
9/4/2003,6571.21
9/5/2003,6571.53
9/6/2003,6571.12
9/7/2003,6570.98
9/8/2003,6572.23
9/9/2003,6572.44
9/10/2003,6573.37
9/11/2003,6573.98
9/12/2003,6575.2
9/13/2003,6577.56
9/14/2003,6576.73
9/15/2003,6576.59
9/16/2003,6575.94
9/17/2003,6575.7
9/18/2003,6574.74
9/19/2003,6574.5
9/20/2003,6575.32
9/21/2003,6572.35
9/22/2003,6569.58
9/23/2003,6566.39
9/24/2003,6568.56
9/25/2003,6574.52
9/26/2003,6577.02
9/27/2003,6577
9/28/2003,6576.8
9/29/2003,6576.77
9/30/2003,6576.64
10/1/2003,6576.47
10/2/2003,6576.41
10/3/2003,6576.31
10/4/2003,6576.17
10/5/2003,6576.03
10/6/2003,6575.89
10/7/2003,6575.73
10/8/2003,6575.59
10/9/2003,6575.44
10/10/2003,6575.29
10/11/2003,6575.13
10/12/2003,6574.98
10/13/2003,6574.82
10/14/2003,6574.66
10/15/2003,6574.5
10/16/2003,6574.33
10/17/2003,6574.16
10/18/2003,6574
10/19/2003,6573.83
10/20/2003,6573.67
10/21/2003,6573.5
10/22/2003,6573.34
10/23/2003,6573.16
10/24/2003,6573.01
10/25/2003,6572.86
10/26/2003,6572.66
10/27/2003,6568.62
10/28/2003,6568.35
10/29/2003,6568.14
10/30/2003,6567.93
10/31/2003,6567.7
11/1/2003,6567.45
11/2/2003,6567.23
11/3/2003,6567.08
11/4/2003,6567.48
11/5/2003,6568.45
11/6/2003,6571.09
11/7/2003,6574.13
11/8/2003,6577.18
11/9/2003,6579.1
11/10/2003,6578.04
11/11/2003,6577.92
11/12/2003,6577.77
11/13/2003,6574.92
11/14/2003,6574.87
11/15/2003,6574.6
11/16/2003,6574.28
11/17/2003,6574.46
11/18/2003,6575.3
11/19/2003,6576.09
11/20/2003,6576.29
11/21/2003,6576.7
11/22/2003,6575.79
11/23/2003,6575.61
11/24/2003,6575.83
11/25/2003,6576.42
11/26/2003,6575.44
11/27/2003,6575.09
11/28/2003,6575
11/29/2003,6574.9
11/30/2003,6574.88
12/1/2003,6575.82
12/2/2003,6575.7
12/3/2003,6575.75
12/4/2003,6575.93
12/5/2003,6576.02
12/6/2003,6576.44
12/7/2003,6576.58
12/8/2003,6576.69
12/9/2003,6576.5
12/10/2003,6576.52
12/11/2003,6577.47
12/12/2003,6578.35
12/13/2003,6576.51
12/14/2003,6573.81
12/15/2003,6567.51
12/16/2003,6568.84
12/17/2003,6569.97
12/18/2003,6571.2
12/19/2003,6572.36
12/20/2003,6573.45
12/21/2003,6573.86
12/22/2003,6575.58
12/23/2003,6574.86
12/24/2003,6574.37
12/25/2003,6574.37
12/26/2003,6574.24
12/27/2003,6574.12
12/28/2003,6574.02
12/29/2003,6574.51
12/30/2003,6575.67
12/31/2003,6575.6
1/1/2004,6574.81
1/2/2004,6574.33
1/3/2004,6574.24
1/4/2004,6574.23
1/5/2004,6574.85
1/6/2004,6574.85
1/7/2004,6575.27
1/8/2004,6575.52
1/9/2004,6573.69
1/10/2004,6573.34
1/11/2004,6572.99
1/12/2004,6573.19
1/13/2004,6573.62
1/14/2004,6573.92
1/15/2004,6575.34
1/16/2004,6574.98
1/17/2004,6574.82
1/18/2004,6575.2
1/19/2004,6575.43
1/20/2004,6576.04
1/21/2004,6576.49
1/22/2004,6577.37
1/23/2004,6577.59
1/24/2004,6577.66
1/25/2004,6577.79
1/26/2004,6577.67
1/27/2004,6577.46
1/28/2004,6576.23
1/29/2004,6576.38
1/30/2004,6576.6
1/31/2004,6578.27
2/1/2004,6578.39
2/2/2004,6577.32
2/3/2004,6576.42
2/4/2004,6575.6
2/5/2004,6574.83
2/6/2004,6574.42
2/7/2004,6574.21
2/8/2004,6574.06
2/9/2004,6573.96
2/10/2004,6573.76
2/11/2004,6573.6
2/12/2004,6573.48
2/13/2004,6573.34
2/14/2004,6573.14
2/15/2004,6572.99
2/16/2004,6573.1
2/17/2004,6573.22
2/18/2004,6573.34
2/19/2004,6573.3
2/20/2004,6573.52
2/21/2004,6574
2/22/2004,6574.41
2/23/2004,6574.62
2/24/2004,6576.15
